Tag	UrlHash	RowId	FinalDestinationURLUrl	ImageURL	label	ProductIntent	ProductCategory	VisualContext	AudienceAndContext	ValueSignals	ConfidenceLevel	Prompt
Prompt5	Internal1001	1	https://segurosdemoto.mapfre.es	https://www.bing.com/th?id=OADD2.7902766197642_1UDWUNB97NH8P8O3R0&pid=21.2	good	 - ProductType: Service - SpecificProduct: Motorcycle insurance 	 - Category: Insurance (consumer financial services) 	 - VisualAnchors: motorcycle helmet and gear, tow truck, paved and unpaved roads - LifestyleVibe: reassuring road safety, reliable protection 	 - AudienceType: individual motorcycle owners and riders seeking insurance coverage - TypicalUsageContext: on-road riding and travel with potential roadside assistance and claims support; online price quoting and policy selection 	 - CoreValueSignals: reliable, affordable, efficient 	 - High 	 Transition ride at sunset: a rider in full protective gear cruises from smooth asphalt into a maintained dirt road, posture relaxed and confident, visor down, eyes on the path ahead. The motorcycle is clean and orderly; tire tracks form a gentle arc, implying secure continuity across any road. 50mm prime lens, f/2.8 shallow DOF; foreground bike sharp, background hills softly blurred with warm bokeh. Natural perspective; candid, no one looking at camera. Emphasize textures: helmet, jacket, road surface. Clean, uncluttered composition. Correct anatomy, natural hands and limbs, sharp focus. No extra text, no logos, no watermark, no UI elements. 
Prompt4	Internal1001	1	https://segurosdemoto.mapfre.es	https://www.bing.com/th?id=OADD2.7902766197642_1UDWUNB97NH8P8O3R0&pid=21.2	good	 - ProductType: Service - SpecificProduct: Motorcycle insurance 	 - Category: Insurance (consumer financial services) 	 - VisualAnchors: motorcycle helmet and gear, tow truck, paved and unpaved roads - LifestyleVibe: reassuring road safety, reliable protection 	 - AudienceType: individual motorcycle owners and riders seeking insurance coverage - TypicalUsageContext: on-road riding and travel with potential roadside assistance and claims support; online price quoting and policy selection 	 - CoreValueSignals: reliable, affordable, efficient 	 - High 	 Rainy city street, twilight: a rider in waterproof gear holds a phone at a natural slight angle, screen catching raindrop reflections (blurred, no UI), while tow truck headlights approach along a wet paved road. The rider looks toward the truck, not at the camera; water beads on helmet and jacket, the bike safely positioned curbside. 50mm prime lens, f/2.8 shallow depth of field with bokeh from streetlights; natural perspective; candid relief. Emphasize efficient response and reassuring safety. Clean, uncluttered composition. Correct anatomy, natural hands and limbs, sharp focus on the service outcome. No extra text, no logos, no watermark, no UI elements. 
Prompt2	Internal1001	1	https://segurosdemoto.mapfre.es	https://www.bing.com/th?id=OADD2.7902766197642_1UDWUNB97NH8P8O3R0&pid=21.2	good	 - ProductType: Service - SpecificProduct: Motorcycle insurance 	 - Category: Insurance (consumer financial services) 	 - VisualAnchors: motorcycle helmet and gear, tow truck, paved and unpaved roads - LifestyleVibe: reassuring road safety, reliable protection 	 - AudienceType: individual motorcycle owners and riders seeking insurance coverage - TypicalUsageContext: on-road riding and travel with potential roadside assistance and claims support; online price quoting and policy selection 	 - CoreValueSignals: reliable, affordable, efficient 	 - High 	 Extreme close-up macro of gloved hands securing a tow strap to a motorcycle fork on a gravel shoulder; the strap clicks into place, cable taut, dust motes catching light as the bike becomes stable and aligned. The rider’s torso in protective gear is softly blurred in the background as a tow truck silhouette waits beyond. 50mm macro feel, f/2.8 shallow DOF with creamy bokeh; natural perspective; candid action. Emphasize tactile detail: stitching on gloves, helmet shell edge, metal hardware. Clean, uncluttered composition. Correct anatomy, natural hands and limbs, sharp focus on the fastening point. No extra text, no logos, no watermark, no UI elements. 
Prompt1	Internal1001	1	https://segurosdemoto.mapfre.es	https://www.bing.com/th?id=OADD2.7902766197642_1UDWUNB97NH8P8O3R0&pid=21.2	good	 - ProductType: Service - SpecificProduct: Motorcycle insurance 	 - Category: Insurance (consumer financial services) 	 - VisualAnchors: motorcycle helmet and gear, tow truck, paved and unpaved roads - LifestyleVibe: reassuring road safety, reliable protection 	 - AudienceType: individual motorcycle owners and riders seeking insurance coverage - TypicalUsageContext: on-road riding and travel with potential roadside assistance and claims support; online price quoting and policy selection 	 - CoreValueSignals: reliable, affordable, efficient 	 - High 	 A calm roadside assistance moment on a sunlit unpaved track: a mid-30s rider in protective jacket and helmet in hand stands beside a motorcycle now upright and secure, looking toward an approaching tow truck (generic, no branding), relieved and composed. Golden-hour light highlights dust settling and the bike’s tidy alignment, implying before/after order. 50mm prime lens, f/2.8 shallow depth of field with soft bokeh; natural perspective; candid, rider not looking at camera. Emphasize textures: helmet shell, gloves, tow strap. Clean, uncluttered composition. Correct anatomy, natural hands and limbs, sharp focus on the service outcome. No extra text, no logos, no watermark, no UI elements. 
Prompt3	Internal1001	1	https://segurosdemoto.mapfre.es	https://www.bing.com/th?id=OADD2.7902766197642_1UDWUNB97NH8P8O3R0&pid=21.2	good	 - ProductType: Service - SpecificProduct: Motorcycle insurance 	 - Category: Insurance (consumer financial services) 	 - VisualAnchors: motorcycle helmet and gear, tow truck, paved and unpaved roads - LifestyleVibe: reassuring road safety, reliable protection 	 - AudienceType: individual motorcycle owners and riders seeking insurance coverage - TypicalUsageContext: on-road riding and travel with potential roadside assistance and claims support; online price quoting and policy selection 	 - CoreValueSignals: reliable, affordable, efficient 	 - High 	 Top-down flat lay: neatly arranged motorcycle helmet, jacket, gloves, keys, and a folded road map showing mixed paved and dirt tones (abstract, no readable text). Everything aligned with gentle shadows, signaling readiness and protection before the ride. Minimalist bench or seat surface, warm neutral color grading. 35mm overhead, f/2.8 shallow DOF focusing center objects; clean lines, uncluttered background. Emphasize materials: matte helmet shell, textile textures, leather gloves. Correct anatomy implied by realistic scaling and natural placements. No extra text, no logos, no watermark, no UI elements. 
Prompt5	Internal10010	10	https://www.theproscloset.com/collections/road-bikes	https://www.bing.com/th?id=OADD2.1354598439893014_167GRS6H28QUYR9&pid=21.2	good	 - ProductType: Physical Product - SpecificProduct: Certified pre-owned and new road bicycles for sale 	 - Category: Sporting goods (cycling equipment) 	 - VisualAnchors: Drop-handlebar road bikes, carbon/aluminum frames, disc brake wheelsets - LifestyleVibe: Performance-driven cycling with professional trust 	 - AudienceType: Road cycling enthusiasts and recreational/competitive riders - TypicalUsageContext: On-road training, commuting, group rides, and racing 	 - CoreValueSignals: professional, reliable, affordable 	 - High 	 Quiet café stop: two road bikes leaned against a wooden rack—one carbon, one aluminum—both with drop bars and disc brake wheelsets. The bikes are the hero: crisp focus on stems, bar tape texture, rotor sheen, and clean drivetrains; riders (diverse, relaxed, helmets off but present) are softly blurred at an outdoor table, laughing, not facing the camera. Warm late-afternoon light, natural perspective, 50mm prime lens, f/2.8 shallow depth of field, uncluttered background, no studio backdrop. Professional yet approachable vibe, trustworthy condition implied by immaculate setup. Correct anatomy for visible hands, natural poses. No text, no logos, no watermark, no brand markings, no product packaging. 
Prompt4	Internal10010	10	https://www.theproscloset.com/collections/road-bikes	https://www.bing.com/th?id=OADD2.1354598439893014_167GRS6H28QUYR9&pid=21.2	good	 - ProductType: Physical Product - SpecificProduct: Certified pre-owned and new road bicycles for sale 	 - Category: Sporting goods (cycling equipment) 	 - VisualAnchors: Drop-handlebar road bikes, carbon/aluminum frames, disc brake wheelsets - LifestyleVibe: Performance-driven cycling with professional trust 	 - AudienceType: Road cycling enthusiasts and recreational/competitive riders - TypicalUsageContext: On-road training, commuting, group rides, and racing 	 - CoreValueSignals: professional, reliable, affordable 	 - High 	 Dynamic side view on a steep hillside switchback: a focused rider accelerates on a carbon aero road bike with deep-section disc-brake wheels; sunlight glints off the rotor and smooth frame. Primary focus on the head tube, front wheel, and bar tape; background riders and winding road melt into bokeh. Natural perspective, 50mm prime lens, f/2.8, subtle motion blur on spokes and road spray, sweat highlights for effort. Performance-driven yet authentic, professional trust in the equipment. Correct anatomy, neutral, debranded kit, helmet on, eyes on the apex. Clean composition, no studio backdrop. No text, no logos, no watermark, no brand markings, no vehicles crowding the scene. 
Prompt2	Internal10010	10	https://www.theproscloset.com/collections/road-bikes	https://www.bing.com/th?id=OADD2.1354598439893014_167GRS6H28QUYR9&pid=21.2	good	 - ProductType: Physical Product - SpecificProduct: Certified pre-owned and new road bicycles for sale 	 - Category: Sporting goods (cycling equipment) 	 - VisualAnchors: Drop-handlebar road bikes, carbon/aluminum frames, disc brake wheelsets - LifestyleVibe: Performance-driven cycling with professional trust 	 - AudienceType: Road cycling enthusiasts and recreational/competitive riders - TypicalUsageContext: On-road training, commuting, group rides, and racing 	 - CoreValueSignals: professional, reliable, affordable 	 - High 	 Macro detail of a freshly tuned certified pre-owned road bike in a bright, tidy workshop: extreme close-up of a disc brake rotor, clean chain, and cassette with a subtle carbon weave top tube in soft bokeh. A gloved mechanic’s hand makes a precise derailleur adjustment—natural angle, correct anatomy, believable torque contact. Emphasize immaculate surfaces, crisp metal edges, and clean bar tape on drop handlebars in the background. Natural perspective, 50mm macro, f/2.8 shallow depth of field, soft, realistic reflections, no harsh HDR. Professional, trustworthy, affordable-through-care vibe. Clean composition, uncluttered background, no studio backdrop. No text, no logos, no watermark, no brand markings, no unsafe tools or practices. 
Prompt1	Internal10010	10	https://www.theproscloset.com/collections/road-bikes	https://www.bing.com/th?id=OADD2.1354598439893014_167GRS6H28QUYR9&pid=21.2	good	 - ProductType: Physical Product - SpecificProduct: Certified pre-owned and new road bicycles for sale 	 - Category: Sporting goods (cycling equipment) 	 - VisualAnchors: Drop-handlebar road bikes, carbon/aluminum frames, disc brake wheelsets - LifestyleVibe: Performance-driven cycling with professional trust 	 - AudienceType: Road cycling enthusiasts and recreational/competitive riders - TypicalUsageContext: On-road training, commuting, group rides, and racing 	 - CoreValueSignals: professional, reliable, affordable 	 - High 	 Photorealistic sunrise paceline on a smooth two-lane country road: focus on the lead drop-handlebar road bike with a carbon frame and disc brake wheelset catching golden light; wheels show subtle motion blur while the frame, rotors, and bar tape are tack-sharp. Diverse small group (mixed ages/genders, natural body types) rides behind, wearing helmets and neutral, debranded kit, looking ahead, not at camera. Natural perspective, 50mm prime lens, f/2.8 shallow depth of field, soft bokeh hills and sky. Clean composition, no clutter, no studio backdrop. Correct anatomy, natural hand positions on hoods, realistic chain tension. Professional yet approachable vibe. No text, no logos, no watermark, no brand markings, no unsafe traffic proximity, no camera glare. 
Prompt3	Internal10010	10	https://www.theproscloset.com/collections/road-bikes	https://www.bing.com/th?id=OADD2.1354598439893014_167GRS6H28QUYR9&pid=21.2	good	 - ProductType: Physical Product - SpecificProduct: Certified pre-owned and new road bicycles for sale 	 - Category: Sporting goods (cycling equipment) 	 - VisualAnchors: Drop-handlebar road bikes, carbon/aluminum frames, disc brake wheelsets - LifestyleVibe: Performance-driven cycling with professional trust 	 - AudienceType: Road cycling enthusiasts and recreational/competitive riders - TypicalUsageContext: On-road training, commuting, group rides, and racing 	 - CoreValueSignals: professional, reliable, affordable 	 - High 	 Urban morning commute scene: a rider glides through a protected bike lane, wearing a helmet and neutral, debranded kit, eyes on the road. The aluminum drop-bar road bike with hydraulic disc brakes and compact lights is the focal point—clean lines, tidy cables, subtle tire sheen. City architecture and gentle traffic are softly blurred in the background. Natural perspective, 35mm prime lens, f/2.8 shallow depth of field, realistic motion blur on the wheels, soft cool light. Professional yet everyday feel, reliable and attainable. Correct anatomy, natural hand position on the hoods, clean composition, no studio backdrop. No text, no logos, no watermark, no brand markings, no risky riding or close-passing cars. 
