JudgeID	HitGroupDataInt	HitDataInt	HitState	HitType	Price	JudgmentState	JudgmentDataInt	JudgmentDataIntName	JudgmentSubmitTime	JudgmentTypeID	JudgmentType	Consensus	TimeSpentOnJudgment	HitGroupID	HitID	lp_id	ImageSource	ImgUrl	JudgmentID	OtherComment	FinalDecision	Imageclarity	BrightnessContrastColorSaturation	SubjectClarity	TextLogoClarity	CompositionLayout	RealisticPhysicallyPlausible	MainSubjectClarityBadOpotion
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:13:09 AM	0	Normal		65228	334885671	472659148	0227_Internal1002_Prompt3.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal1002_Prompt3.jpg	1305557327	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:14:13 AM	0	Normal		62881	334885717	472659194	0227_Internal10020_Prompt1.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10020_Prompt1.jpg	1305557463	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:16:06 AM	0	Normal		112485	334885672	472659149	0227_Internal10095_Prompt1.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10095_Prompt1.jpg	1305557328	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:17:55 AM	0	Normal		106810	334885611	472659088	0227_Internal10063_Prompt1.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10063_Prompt1.jpg	1305557145	N/A	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:18:17 AM	0	Normal		21551	334885718	472659195	0227_Internal10011_Prompt5.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10011_Prompt5.jpg	1305557466	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:18:45 AM	0	Normal		27952	334885737	472659214	0227_Internal10034_Prompt5.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10034_Prompt5.jpg	1305557523	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:20:39 AM	0	Normal		112268	334885793	472659270	0227_Internal10090_Prompt2.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10090_Prompt2.jpg	1305557691	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:22:16 AM	0	Normal		96222	334885881	472659358	0227_Internal10061_Prompt2.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10061_Prompt2.jpg	1305557955	N/A	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:24:57 AM	0	Normal		120000	334885876	472659353	0227_Internal10096_Prompt5.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10096_Prompt5.jpg	1305557940	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:25:24 AM	0	Normal		26274	334885514	472658991	0227_Internal10094_Prompt2.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10094_Prompt2.jpg	1305556854	N/A	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:25:40 AM	0	Normal		15446	334885877	472659354	0227_Internal10044_Prompt3.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10044_Prompt3.jpg	1305557944	N/A	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	
3496659	-1	-1	0	Normal		2	0		2/27/2026 3:26:50 AM	0	Normal		72533	334885531	472659008	0227_Internal10014_Prompt2.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10014_Prompt2.jpg	1305556906	N/A	Bad	Bad	Bad	GoodOrN/A	GoodOrN/A	Bad	GoodOrN/A	
3496659	-1	-1	0	Normal		2	0		2/27/2026 3:27:28 AM	0	Normal		37321	334885815	472659292	0227_Internal10073_Prompt4.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10073_Prompt4.jpg	1305557757	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:27:41 AM	0	Normal		120000	334885565	472659042	0227_Internal10019_Prompt1.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10019_Prompt1.jpg	1305557008	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1628038	-1	-1	0	Normal		2	0		2/27/2026 3:28:06 AM	0	Normal		24759	334885738	472659215	0227_Internal10012_Prompt1.jpg	AdsImage_LP	https://unitorchazureblob.blob.core.windows.net/bic/0227_Internal10012_Prompt1.jpg	1305557528	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
