JudgeID	HitGroupDataInt	HitDataInt	HitState	HitType	Price	JudgmentState	JudgmentDataInt	JudgmentDataIntName	JudgmentSubmitTime	JudgmentTypeID	JudgmentType	Consensus	TimeSpentOnJudgment	HitGroupID	HitID	lp_id	ImageSource	FinalUrl	ImgUrl	JudgmentID	FinalDecision	Imageclarity	BrightnessContrastColorSaturation	SubjectClarity	TextLogoClarity	CompositionLayout	RealisticPhysicallyPlausible	OtherComment	MainSubjectClarityBadOpotion
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:35:14 AM	0	Normal		19790	337862244	476439416	Random200_0324_128_Prompt1.jpg	AdsT2Iv3	https://freight.amazon.com/newsroom/2023-3-steps-to-quote?ref=P_DSP_BIN_R4S_BRD_sponsoredcontent25_OPE_2023-3-steps-to-quote_DSK	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_128_Prompt1.jpg	1312996647	Imageloadfail	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:36:38 AM	0	Normal		84145	337862476	476439648	Random200_0324_52_Prompt3.jpg	AdsT2Iv3	https://www.shelor.com/	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_52_Prompt3.jpg	1312997343	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:36:59 AM	0	Normal		20418	337862620	476439792	Random200_0324_65_Prompt3.jpg	AdsT2Iv3	https://www.aandrhomecenter.com/	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_65_Prompt3.jpg	1312997775	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:37:49 AM	0	Normal		48718	337862788	476439960	Random200_0324_46_Prompt3.jpg	AdsT2Iv3	https://www.lafayette148ny.com/women/new-arrivals	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_46_Prompt3.jpg	1312998279	Fair	Fair	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:38:24 AM	0	Normal		34750	337862081	476439253	Random200_0324_75_Prompt4.jpg	AdsT2Iv3	https://christmasatgaylordrockies.marriott.com/	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_75_Prompt4.jpg	1312996160	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:39:33 AM	0	Normal		68263	337862305	476439477	Random200_0324_23_Prompt1.jpg	AdsT2Iv3	https://www.marken.com/capabilities/quality-assurance/	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_23_Prompt1.jpg	1312996832	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:40:27 AM	0	Normal		52692	337862420	476439592	Random200_0324_151_Prompt3.jpg	AdsT2Iv3	https://form-dc-100c.pdffiller.com	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_151_Prompt3.jpg	1312997176	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:40:43 AM	0	Normal		15333	337862487	476439659	Random200_0324_19_Prompt4.jpg	AdsT2Iv3	https://www.airwick.ca/vibrant-by-air-wick/	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_19_Prompt4.jpg	1312997376	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:42:38 AM	0	Normal		113904	337862543	476439715	Random200_0324_29_Prompt1.jpg	AdsT2Iv3	https://ask-crew.com/info/contact-us/	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_29_Prompt1.jpg	1312997544	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	N/A	
1628038	-1	-1	0	Normal		2	0		4/1/2026 4:43:25 AM	0	Normal		46027	337862711	476439883	Random200_0324_50_Prompt2.jpg	AdsT2Iv3	https://privateinternetaccess.com/offer/sale	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_50_Prompt2.jpg	1312998048	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	N/A	
